CustomerID,Country,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,ChurnRisk
12521,Germany,143,1,599.68,2,1,3,213,Needs Attention,High
12522,Germany,39,2,192.72,3,2,1,321,Potential Loyalist,Medium
12523,France,19,11,1789.77,4,5,4,454,Champions,Low
12524,Germany,9,8,4485.72,5,5,5,555,Champions,Low
12526,Germany,1,3,1316.66,5,3,4,534,Loyal Customers,Low
12527,Germany,82,3,348.71,2,3,2,232,At Risk,Medium
12528,Germany,9,6,1933.48,5,5,4,554,Champions,Low
12530,Germany,60,4,1662.28,3,4,4,344,Potential Loyalist,Medium
12531,Germany,15,1,125.22,4,1,1,411,New Customers,Low
12532,France,30,1,349.83,4,1,2,412,New Customers,Low
12534,Germany,131,1,1089.18,2,1,4,214,Needs Attention,High
12535,France,92,2,716.35,2,2,3,223,Needs Attention,High
12536,France,43,3,12601.83,3,3,5,335,Potential Loyalist,Medium
12538,Spain,29,1,363.95,4,1,2,412,New Customers,Low
12539,Spain,22,4,5568.35,4,4,5,445,Champions,Low
12540,Spain,20,17,13400.24,4,5,5,455,Champions,Low
12541,Spain,30,3,981.18,4,3,4,434,Loyal Customers,Low
12544,Spain,36,1,372.7,3,1,2,312,Potential Loyalist,Medium
12545,Spain,75,2,1000.39,2,2,4,224,Needs Attention,High
12546,Spain,47,2,1161.5,3,2,4,324,Potential Loyalist,Medium
12547,Spain,198,2,207.8,1,2,1,121,Hibernating,High
12548,Spain,166,1,95.2,2,1,1,211,Hibernating,High
12550,Spain,79,1,964.83,2,1,4,214,Needs Attention,High
12551,Spain,358,1,168.0,1,1,1,111,Hibernating,High
12552,Italy,39,2,437.82,3,2,2,322,Potential Loyalist,Medium
12553,France,8,10,3692.28,5,5,5,555,Champions,Low
12556,Spain,50,2,603.71,3,2,3,323,Potential Loyalist,Medium
12557,Spain,16,5,11990.96,4,4,5,445,Champions,Low
12558,USA,8,1,269.96,5,1,2,512,New Customers,Low
12559,Germany,311,2,561.71,1,2,3,123,Needs Attention,High
12560,Germany,5,3,2134.01,5,3,5,535,Loyal Customers,Low
12561,Germany,303,1,238.85,1,1,1,111,Hibernating,High
12562,France,8,7,3781.74,5,5,5,555,Champions,Low
12564,France,261,1,456.9,1,1,2,112,Hibernating,High
12565,Saudi Arabia,289,1,145.92,1,1,1,111,Hibernating,High
12566,Germany,86,1,351.65,2,1,2,212,Hibernating,High
12567,France,23,10,9401.28,4,5,5,455,Champions,Low
12569,Germany,2,32,4124.69,5,5,5,555,Champions,Low
12571,France,40,2,519.61,3,2,3,323,Potential Loyalist,Medium
12572,Germany,9,2,1020.42,5,2,4,524,New Customers,Low
12573,France,227,1,160.54,1,1,1,111,Hibernating,High
12574,France,316,1,218.45,1,1,1,111,Hibernating,High
12576,Poland,36,5,1315.83,3,4,4,344,Potential Loyalist,Medium
12577,France,35,3,657.8,3,3,3,333,Potential Loyalist,Medium
12578,Italy,21,2,2794.51,4,2,5,425,New Customers,Low
12579,France,78,1,440.42,2,1,2,212,Hibernating,High
12580,Germany,247,1,415.7,1,1,2,112,Hibernating,High
12581,Germany,40,1,197.71,3,1,1,311,Potential Loyalist,Medium
12582,Finland,239,2,511.36,1,2,3,123,Needs Attention,High
12583,France,3,15,7281.38,5,5,5,555,Champions,Low
12584,Italy,4,9,2338.15,5,5,5,555,Champions,Low
12585,Germany,234,2,2040.1,1,2,4,124,Needs Attention,High
12586,Italy,17,1,196.94,4,1,1,411,New Customers,Low
12587,Finland,8,1,144.0,5,1,1,511,New Customers,Low
12588,Finland,39,1,214.9,3,1,1,311,Potential Loyalist,Medium
12589,France,29,2,646.68,4,2,3,423,New Customers,Low
12590,Germany,211,2,9864.26,1,2,5,125,Needs Attention,High
12591,Italy,317,1,452.85,1,1,2,112,Hibernating,High
12592,Germany,92,2,437.6,2,2,2,222,Hibernating,High
12593,France,109,3,418.1,2,3,2,232,At Risk,Medium
12594,Italy,38,10,3338.22,3,5,5,355,Potential Loyalist,Medium
12596,Spain,51,2,618.27,3,2,3,323,Potential Loyalist,Medium
12597,Spain,19,4,3811.22,4,4,5,445,Champions,Low
12598,France,10,8,3023.08,5,5,5,555,Champions,Low
12599,France,29,7,1032.58,4,5,4,454,Champions,Low
12600,Germany,29,10,2599.04,4,5,5,455,Champions,Low
12601,Germany,190,5,577.06,1,4,3,143,Needs Attention,Medium
12602,France,59,1,153.12,3,1,1,311,Potential Loyalist,Medium
12603,Germany,22,1,739.2,4,1,3,413,New Customers,Low
12604,France,79,2,254.18,2,2,2,222,Hibernating,High
12607,USA,60,1,1579.51,3,1,4,314,Potential Loyalist,Medium
12609,Germany,78,3,1126.85,2,3,4,234,At Risk,Medium
12610,Italy,23,5,2099.54,4,4,5,445,Champions,Low
12611,Italy,52,1,1193.32,3,1,4,314,Potential Loyalist,Medium
12612,Germany,74,1,704.04,2,1,3,213,Needs Attention,High
12613,Germany,57,5,3344.38,3,4,5,345,Potential Loyalist,Medium
12614,Germany,278,1,315.6,1,1,2,112,Hibernating,High
12615,France,2,4,2291.19,5,4,5,545,Champions,Low
12616,France,95,2,713.3,2,2,3,223,Needs Attention,High
12617,France,29,1,355.53,4,1,2,412,New Customers,Low
12618,Italy,22,1,177.31,4,1,1,411,New Customers,Low
12619,Germany,16,9,3641.24,4,5,5,455,Champions,Low
12620,France,15,3,1339.41,4,3,4,434,Loyal Customers,Low
12621,Germany,2,20,13689.67,5,5,5,555,Champions,Low
12622,Germany,232,1,180.1,1,1,1,111,Hibernating,High
12623,Germany,276,1,305.1,1,1,2,112,Hibernating,High
12624,France,106,2,641.13,2,2,3,223,Needs Attention,High
12625,Germany,212,2,2683.82,1,2,5,125,Needs Attention,High
12626,Germany,23,9,6620.48,4,5,5,455,Champions,Low
12627,Germany,11,7,4478.53,5,5,5,555,Champions,Low
12628,Germany,4,3,786.46,5,3,3,533,Loyal Customers,Low
12630,Finland,10,2,1270.88,5,2,4,524,New Customers,Low
12631,Finland,57,1,640.5,3,1,3,313,Potential Loyalist,Medium
12633,Germany,59,4,2163.98,3,4,5,345,Potential Loyalist,Medium
12635,Germany,90,2,1689.18,2,2,4,224,Needs Attention,High
12637,France,67,8,6021.9,3,5,5,355,Potential Loyalist,Medium
12638,Sweden,33,1,671.69,4,1,3,413,New Customers,Low
12639,Sweden,239,1,486.1,1,1,2,112,Hibernating,High
12640,France,24,3,1174.58,4,3,4,434,Loyal Customers,Low
12641,Sweden,115,1,185.9,2,1,1,211,Hibernating,High
12642,Germany,25,3,1013.26,4,3,4,434,Loyal Customers,Low
12643,France,128,6,3344.64,2,5,5,255,At Risk,Medium
12644,Germany,130,1,477.91,2,1,2,212,Hibernating,High
12645,Germany,34,4,1775.18,3,4,4,344,Potential Loyalist,Medium
12646,USA,5,2,1346.97,5,2,4,524,New Customers,Low
12647,Germany,22,12,3722.82,4,5,5,455,Champions,Low
12648,Germany,155,1,318.05,2,1,2,212,Hibernating,High
12649,Germany,107,3,623.51,2,3,3,233,At Risk,Medium
12650,France,3,1,314.44,5,1,2,512,New Customers,Low
12651,France,335,1,114.0,1,1,1,111,Hibernating,High
12652,France,331,1,919.98,1,1,3,113,Needs Attention,High
12653,Israel,149,2,2209.85,2,2,5,225,Needs Attention,High
12654,Germany,11,5,601.98,5,4,3,543,Loyal Customers,Low
12656,France,17,5,4051.17,4,4,5,445,Champions,Low
12657,France,11,4,1643.18,5,4,4,544,Champions,Low
12658,Germany,19,1,686.05,4,1,3,413,New Customers,Low
12659,France,30,1,91.68,4,1,1,411,New Customers,Low
12660,France,11,1,245.1,5,1,1,511,New Customers,Low
12662,Germany,1,11,3849.78,5,5,5,555,Champions,Low
12664,Finland,8,9,4881.88,5,5,5,555,Champions,Low
12665,Germany,325,1,63.0,1,1,1,111,Hibernating,High
12667,Finland,58,1,620.13,3,1,3,313,Potential Loyalist,Medium
12668,Germany,12,4,3807.15,5,4,5,545,Champions,Low
12669,France,151,3,2744.03,2,3,5,235,At Risk,Medium
12670,France,10,5,2996.05,5,4,5,545,Champions,Low
12672,France,330,1,225.9,1,1,1,111,Hibernating,High
12673,Germany,5,2,610.52,5,2,3,523,New Customers,Low
12674,France,39,4,1970.6,3,4,4,344,Potential Loyalist,Medium
12676,Sweden,25,6,1331.39,4,5,4,454,Champions,Low
12678,France,42,12,17628.46,3,5,5,355,Potential Loyalist,Medium
12679,France,59,4,1113.02,3,4,4,344,Potential Loyalist,Medium
12680,France,1,4,862.81,5,4,3,543,Loyal Customers,Low
12681,France,15,22,13787.54,4,5,5,455,Champions,Low
12682,France,4,31,12288.22,5,5,5,555,Champions,Low
12683,France,4,15,8476.57,5,5,5,555,Champions,Low
12684,France,8,7,2283.63,5,5,5,555,Champions,Low
12685,France,28,6,2863.08,4,5,5,455,Champions,Low
12686,France,372,1,89.14,1,1,1,111,Hibernating,High
12688,Israel,114,1,4873.81,2,1,5,215,Needs Attention,High
12689,France,26,2,1247.61,4,2,4,424,New Customers,Low
12690,France,206,1,389.01,1,1,2,112,Hibernating,High
12691,France,28,6,1035.8,4,5,4,454,Champions,Low
12693,Germany,127,4,855.91,2,4,3,243,At Risk,Medium
12694,France,70,2,869.67,3,2,3,323,Potential Loyalist,Medium
12695,France,7,4,582.1,5,4,3,543,Loyal Customers,Low
12697,Sweden,29,3,957.59,4,3,4,434,Loyal Customers,Low
12700,France,8,4,4939.99,5,4,5,545,Champions,Low
12701,Germany,80,2,797.71,2,2,3,223,Needs Attention,High
12702,Germany,20,1,219.0,4,1,1,411,New Customers,Low
12703,Germany,71,1,283.55,3,1,2,312,Potential Loyalist,Medium
12704,Finland,7,8,2340.84,5,5,5,555,Champions,Low
12705,Germany,15,9,6868.29,4,5,5,455,Champions,Low
12707,France,292,1,603.42,1,1,3,113,Needs Attention,High
12708,Germany,30,10,2712.91,4,5,5,455,Champions,Low
12709,Germany,15,15,9736.52,4,5,5,455,Champions,Low
12710,Germany,97,3,1149.02,2,3,4,234,At Risk,Medium
12712,Germany,29,13,4396.13,4,5,5,455,Champions,Low
12713,Germany,1,1,848.55,5,1,3,513,New Customers,Low
12714,France,9,5,4708.86,5,4,5,545,Champions,Low
12715,Sweden,106,1,353.86,2,1,2,212,Hibernating,High
12716,France,4,2,1053.49,5,2,4,524,New Customers,Low
12717,Greece,151,2,1030.98,2,2,4,224,Needs Attention,High
12718,France,71,1,238.25,3,1,1,311,Potential Loyalist,Medium
12719,France,5,2,644.95,5,2,3,523,New Customers,Low
12720,Germany,3,25,5781.73,5,5,5,555,Champions,Low
12721,France,32,6,2656.13,4,5,5,455,Champions,Low
12722,France,85,4,997.63,2,4,4,244,At Risk,Medium
12723,France,4,5,725.07,5,4,3,543,Loyal Customers,Low
12724,France,5,4,1031.41,5,4,4,544,Champions,Low
12725,Italy,371,1,427.8,1,1,2,112,Hibernating,High
12726,France,28,7,2609.1,4,5,5,455,Champions,Low
12727,France,11,7,3980.7,5,5,5,555,Champions,Low
12728,France,71,4,836.33,3,4,3,343,Potential Loyalist,Medium
12729,France,114,1,453.01,2,1,2,212,Hibernating,High
12731,France,24,12,18895.91,4,5,5,455,Champions,Low
12732,France,180,1,236.26,1,1,1,111,Hibernating,High
12733,USA,234,1,383.95,1,1,2,112,Hibernating,High
12734,France,353,1,110.4,1,1,1,111,Hibernating,High
12735,France,315,2,779.57,1,2,3,123,Needs Attention,High
12736,France,333,1,234.0,1,1,1,111,Hibernating,High
12738,Germany,372,1,155.35,1,1,1,111,Hibernating,High
12739,United Arab Emirates,78,2,1013.04,2,2,4,224,Needs Attention,High
12740,France,64,1,427.6,3,1,2,312,Potential Loyalist,Medium
12743,Unspecified,134,2,546.43,2,2,3,223,Needs Attention,High
12744,Singapore,52,7,21279.29,3,5,5,355,Potential Loyalist,Medium
12747,United Kingdom,2,11,4196.01,5,5,5,555,Champions,Low
12748,United Kingdom,1,209,33719.73,5,5,5,555,Champions,Low
12749,United Kingdom,4,5,4090.88,5,4,5,545,Champions,Low
12750,Poland,129,1,275.88,2,1,2,212,Hibernating,High
12752,Norway,81,1,4366.78,2,1,5,215,Needs Attention,High
12753,Japan,23,6,21429.39,4,5,5,455,Champions,Low
12754,Japan,236,3,3010.74,1,3,5,135,Needs Attention,Medium
12755,Japan,281,2,3811.95,1,2,5,125,Needs Attention,High
12756,Japan,87,1,112.08,2,1,1,211,Hibernating,High
12757,Portugal,16,13,7857.1,4,5,5,455,Champions,Low
12758,Portugal,117,2,2791.59,2,2,5,225,Needs Attention,High
12759,Netherlands,52,3,1531.44,3,3,4,334,Potential Loyalist,Medium
12762,Portugal,8,2,1898.52,5,2,4,524,New Customers,Low
12763,Japan,138,2,494.08,2,2,3,223,Needs Attention,High
12764,Lebanon,317,1,1693.88,1,1,4,114,Needs Attention,High
12766,Portugal,4,7,6989.63,5,5,5,555,Champions,Low
12769,Brazil,239,1,1143.6,1,1,4,114,Needs Attention,High
12770,Japan,211,1,1351.45,1,1,4,114,Needs Attention,High
12772,Portugal,60,1,892.47,3,1,3,313,Potential Loyalist,Medium
12775,Netherlands,17,5,1386.04,4,4,4,444,Champions,Low
12778,Netherlands,20,6,822.23,4,5,3,453,Loyal Customers,Low
12779,Poland,38,8,3981.36,3,5,5,355,Potential Loyalist,Medium
12781,Czech Republic,64,2,826.74,3,2,3,323,Potential Loyalist,Medium
12782,Portugal,5,5,2330.92,5,4,5,545,Champions,Low
12783,Portugal,2,6,2225.91,5,5,5,555,Champions,Low
12784,Portugal,9,2,574.42,5,2,3,523,New Customers,Low
12785,Portugal,364,1,311.95,1,1,2,112,Hibernating,High
12787,Netherlands,10,3,463.66,5,3,2,532,Loyal Customers,Low
12789,Netherlands,65,1,91.85,3,1,1,311,Potential Loyalist,Medium
12790,Netherlands,192,1,324.92,1,1,2,112,Hibernating,High
12791,Netherlands,374,1,192.6,1,1,1,111,Hibernating,High
12792,Portugal,257,1,400.54,1,1,2,112,Hibernating,High
12793,Portugal,335,2,545.48,1,2,3,123,Needs Attention,High
12794,Portugal,53,2,860.41,3,2,3,323,Potential Loyalist,Medium
12795,Portugal,19,1,430.48,4,1,2,412,New Customers,Low
12797,Portugal,366,1,254.03,1,1,2,112,Hibernating,High
12798,Japan,10,3,6977.04,5,3,5,535,Loyal Customers,Low
12802,Netherlands,187,1,427.58,1,1,2,112,Hibernating,High
12808,Portugal,37,3,483.65,3,3,2,332,Potential Loyalist,Medium
12809,Portugal,178,1,489.31,2,1,2,212,Hibernating,High
12811,Portugal,261,3,514.85,1,3,3,133,Needs Attention,Medium
12812,Japan,45,1,229.64,3,1,1,311,Potential Loyalist,Medium
12814,Poland,102,1,125.92,2,1,1,211,Hibernating,High
12815,Poland,148,2,1063.46,2,2,4,224,Needs Attention,High
12816,Poland,96,2,572.2,2,2,3,223,Needs Attention,High
12817,Austria,281,1,166.04,1,1,1,111,Hibernating,High
12818,Austria,262,1,1542.08,1,1,4,114,Needs Attention,High
12820,United Kingdom,3,4,942.34,5,4,4,544,Champions,Low
12821,United Kingdom,214,1,92.72,1,1,1,111,Hibernating,High
12822,United Kingdom,71,2,948.88,3,2,4,324,Potential Loyalist,Medium
12823,United Kingdom,75,5,1759.5,2,4,4,244,At Risk,Medium
12824,United Kingdom,60,1,397.12,3,1,2,312,Potential Loyalist,Medium
12826,United Kingdom,3,7,1474.72,5,5,4,554,Champions,Low
12827,United Kingdom,6,3,430.15,5,3,2,532,Loyal Customers,Low
12828,United Kingdom,3,6,1018.71,5,5,4,554,Champions,Low
12829,United Kingdom,337,2,293.0,1,2,2,122,Hibernating,High
12830,United Kingdom,38,6,6814.64,3,5,5,355,Potential Loyalist,Medium
12831,United Kingdom,262,1,215.05,1,1,1,111,Hibernating,High
12832,United Kingdom,32,2,383.03,4,2,2,422,New Customers,Low
12833,United Kingdom,145,1,417.38,2,1,2,212,Hibernating,High
12834,United Kingdom,283,1,312.38,1,1,2,112,Hibernating,High
12836,United Kingdom,59,4,2612.86,3,4,5,345,Potential Loyalist,Medium
12837,United Kingdom,173,1,134.1,2,1,1,211,Hibernating,High
12838,United Kingdom,34,2,683.13,3,2,3,323,Potential Loyalist,Medium
12839,United Kingdom,3,14,5591.42,5,5,5,555,Champions,Low
12840,United Kingdom,144,4,2726.77,2,4,5,245,At Risk,Medium
12841,United Kingdom,5,25,4022.35,5,5,5,555,Champions,Low
12842,United Kingdom,70,2,1118.99,3,2,4,324,Potential Loyalist,Medium
12843,United Kingdom,66,8,1702.26,3,5,4,354,Potential Loyalist,Medium
12844,United Kingdom,29,2,325.96,4,2,2,422,New Customers,Low
12845,United Kingdom,267,4,354.09,1,4,2,142,Needs Attention,Medium
12847,United Kingdom,22,1,871.54,4,1,3,413,New Customers,Low
12849,United Kingdom,31,2,1050.89,4,2,4,424,New Customers,Low
12851,United Kingdom,97,1,135.18,2,1,1,211,Hibernating,High
12852,United Kingdom,295,1,311.55,1,1,2,112,Hibernating,High
12853,United Kingdom,135,6,1957.1,2,5,4,254,At Risk,Medium
12854,United Kingdom,79,3,1324.5,2,3,4,234,At Risk,Medium
12855,United Kingdom,373,1,38.1,1,1,1,111,Hibernating,High
12856,United Kingdom,8,6,2179.93,5,5,5,555,Champions,Low
12857,United Kingdom,211,2,1106.4,1,2,4,124,Needs Attention,High
12863,United Kingdom,52,1,521.2,3,1,3,313,Potential Loyalist,Medium
12864,United Kingdom,138,1,147.12,2,1,1,211,Hibernating,High
12865,Austria,26,2,1568.23,4,2,4,424,New Customers,Low
12866,Belgium,283,1,559.12,1,1,3,113,Needs Attention,High
12867,United Kingdom,26,7,4036.82,4,5,5,455,Champions,Low
12868,United Kingdom,186,6,1607.06,1,5,4,154,Cannot Lose Them,Medium
12871,United Kingdom,84,2,380.64,2,2,2,222,Hibernating,High
12872,United Kingdom,327,2,599.97,1,2,3,123,Needs Attention,High
12873,United Kingdom,282,1,374.0,1,1,2,112,Hibernating,High
12875,United Kingdom,143,2,343.23,2,2,2,222,Hibernating,High
12876,Belgium,58,2,2218.02,3,2,5,325,Potential Loyalist,Medium
12877,United Kingdom,4,12,1535.77,5,5,4,554,Champions,Low
12878,United Kingdom,236,2,854.99,1,2,3,123,Needs Attention,High
12879,United Kingdom,45,3,573.22,3,3,3,333,Potential Loyalist,Medium
12881,United Kingdom,276,1,298.0,1,1,2,112,Hibernating,High
12882,United Kingdom,9,2,1463.04,5,2,4,524,New Customers,Low
12883,United Kingdom,25,4,703.47,4,4,3,443,Loyal Customers,Low
